Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Sampletype,Method.of.detection,Pathogen,Hosts.studied,Host.positive,Infection.prevalence.host,Genospecies.identification,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.BF,Same.reference,Multiple.species,Notes,Birds,Additional.data.email,Data.collection,Double.ext
292,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Greater white-toothed shrew,Crocidura russula,Mammal,Scientific capturing,Ear biopsy,Nested PCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
293,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Lusitanian pine vole,Microtus lusitanicus,Mammal,Scientific capturing,Ear biopsy,Nested PCR,B. burgdorferi s.l.,2,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
294,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,House mouse,Mus musculus,Mammal,Scientific capturing,Ear biopsy,Nested PCR,B. burgdorferi s.l.,5,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
295,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Western Mediterranean mouse,Mus spretus,Mammal,Scientific capturing,Ear biopsy,Nested PCR,B. burgdorferi s.l.,2,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
296,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,European rabbit,Oryctolagus cuniculus,Mammal,Road-killed ,Ear biopsy,Nested PCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,BF,"Norte et al., 2015",No,,No birds,No,L,No
297,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,European greenfinch,Carduelis chloris,Bird,Scientific capturing,Skin biopsy of shin,Nested PCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
298,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Short-toed treecreeper,Certhia brachydactyla,Bird,Scientific capturing,Skin biopsy of shin,Nested PCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
299,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,European robin,Erithacus rubecula,Bird,Scientific capturing,Skin biopsy of shin,Nested PCR,B. burgdorferi s.l.,7,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
300,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,Skin biopsy of shin,Nested PCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
301,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,European stonechat,Saxicola rubicola,Bird,Scientific capturing,Skin biopsy of shin,Nested PCR,B. burgdorferi s.l.,2,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
302,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,European serin,Serinus serinus,Bird,Scientific capturing,Skin biopsy of shin,Nested PCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
303,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Spotless starling,Sturnus unicolor,Bird,Scientific capturing,Skin biopsy of shin,Nested PCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
304,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Sardinian warbler,Sylvia melanocephala,Bird,Scientific capturing,Skin biopsy of shin,Nested PCR,B. burgdorferi s.l.,3,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
305,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,Skin biopsy of shin,Nested PCR,B. burgdorferi s.l.,2,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
306,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Common blackbird,Turdus merula,Bird,Scientific capturing,Skin biopsy of shin,Nested PCR,B. burgdorferi s.l.,5,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
307,"Obiegala et al., 2017","Leipzig, Saxony ",Germany,No,"Urban, forests, meadows, around artifical lakes","March-October 2012, January-November 2013, January-October 2014",Bank vole,Myodes glareolus,Mammal,Scientific capturing,Skin,qPCR,B. burgdorferi s.l.,435,143,0.33,Yes,Yes,95% CI: 28.6–37.4,T,"Obiegala et al., 2017",No,,No birds,No,L,No
308,"Obiegala et al., 2017","Leipzig, Saxony ",Germany,No,"Urban, forests, meadows, around artifical lakes","March-October 2012, January-November 2013, January-October 2014",Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Skin,qPCR,B. burgdorferi s.l.,214,64,0.30,No,Yes,95% CI: 28.6–37.4,T,"Obiegala et al., 2017",No,,No birds,No,L,No
309,"Obiegala et al., 2017","Leipzig, Saxony ",Germany,No,"Urban, forests, meadows, around artifical lakes","March-October 2012, January-November 2013, January-October 2014",Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Skin,qPCR,B. burgdorferi s.l.,7,3,0.43,No,No,NA,T,"Obiegala et al., 2017",No,,No birds,No,L,No
310,"Obiegala et al., 2017","Leipzig, Saxony ",Germany,No,"Urban, forests, meadows, around artifical lakes","March-October 2012, January-November 2013, January-October 2014",Least weasel,Mustela nivalis,Mammal,Scientific capturing,Skin,qPCR,B. burgdorferi s.l.,2,0,0.00,NA,No,NA,T,"Obiegala et al., 2017",No,,No birds,No,L,No
311,"Obiegala et al., 2017","Leipzig, Saxony ",Germany,No,"Urban, forests, meadows, around artifical lakes","March-October 2012, January-November 2013, January-October 2014",Common vole,Microtus arvalis,Mammal,Scientific capturing,Skin,qPCR,B. burgdorferi s.l.,8,5,0.63,No,No,NA,T,"Obiegala et al., 2017",No,,No birds,No,L,No
312,"Obiegala et al., 2017","Leipzig, Saxony ",Germany,No,"Urban, forests, meadows, around artifical lakes","March-October 2012, January-November 2013, January-October 2014",Common shrew,Sorex araneus,Mammal,Scientific capturing,Skin,qPCR,B. burgdorferi s.l.,5,0,0.00,NA,No,NA,T,"Obiegala et al., 2017",No,,No birds,No,L,No
313,"Obiegala et al., 2017","Leipzig, Saxony ",Germany,No,"Urban, forests, meadows, around artifical lakes","March-October 2012, January-November 2013, January-October 2014",European mole,Talpa europaea,Mammal,Scientific capturing,Skin,qPCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,T,"Obiegala et al., 2017",No,,No birds,No,L,No
314,"Obiegala et al., 2017","Leipzig, Saxony ",Germany,No,"Urban, forests, meadows, around artifical lakes","March-October 2012, January-November 2013, January-October 2014",Field vole,Microtus agrestis,Mammal,Scientific capturing,Skin,qPCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,T,"Obiegala et al., 2017",No,,No birds,No,L,No
315,"Pascucci et al., 2015",Gran Sasso e Monti della Laga National Park,Italy,No,Mesophilous vegetation,February 2008 - June 2009,Apodemus spp.,Apodemus spp.,Mammal,Scientific capturing,Blood,Real-time PCR,B. burgdorferi s.l.,101,7,0.07,No,Yes,95% CI: 3.45-13.63%,No,NA,Half,Species: Apodemus spp,No birds,No,L,No
316,"Pascucci et al., 2015",Gran Sasso e Monti della Laga National Park,Italy,No,Mesophilous vegetation,February 2008 - June 2009,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Blood,Real-time PCR,B. burgdorferi s.l.,42,5,0.12,No,Yes,95% CI: 5.30-25.08%,No,NA,No,,No birds,No,L,No
317,"Pereira et al., 2016","Castelo Branco, Portalegre, Lisboa, Evora and Beja",Portugal,No,NA,December 2013 - March 2015 (hunting seasons),Red deer,Cervus elaphus,Mammal,Hunting,Blood,PCR,B. burgdorferi s.l.,73,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
318,"Pereira et al., 2016","Castelo Branco, Portalegre, Lisboa, Evora and Beja",Portugal,No,NA,December 2013 - March 2015 (hunting seasons),Wild boar,Sus scrofa,Mammal,Hunting,Blood,PCR,B. burgdorferi s.l.,65,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
319,"Pereira et al., 2016","Castelo Branco, Portalegre, Lisboa, Evora and Beja",Portugal,No,NA,December 2013 - March 2015 (hunting seasons),Fallow deer,Dama dama,Mammal,Hunting,Blood,PCR,B. burgdorferi s.l.,3,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
320,"Perez et al., 2020",Atelier Zone Armorique,France,No,Argicultural land with hegderows and forest,May-June and October 2012-2013,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Ear and spleen,Real-time PCR,B. burgdorferi s.l.,454,15,0.03,No,No,NA,No,NA,No,,No birds,No,L,No
321,"Perez et al., 2020",Atelier Zone Armorique,France,No,Argicultural land with hegderows and forest,May-June and October 2012-2013,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Ear and spleen,Real-time PCR,B. burgdorferi s.l.,149,10,0.07,No,No,NA,No,NA,No,,No birds,No,L,No
322,"Perez et al., 2020",Atelier Zone Armorique,France,No,Argicultural land with hegderows and forest,May-June and October 2012-2013,Field vole,Microtus agrestis,Mammal,Scientific capturing,Ear and spleen,Real-time PCR,B. burgdorferi s.l.,4,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
323,"Perez et al., 2020",Atelier Zone Armorique,France,No,Argicultural land with hegderows and forest,May-June and October 2012-2013,European pine vole,Microtus subterraneus,Mammal,Scientific capturing,Ear and spleen,Real-time PCR,B. burgdorferi s.l.,2,1,0.50,No,No,NA,No,NA,No,,No birds,No,L,No
324,"Perez et al., 2020",Atelier Zone Armorique,France,No,Argicultural land with hegderows and forest,May-June and October 2012-2013,Crowned shrew,Sorex coronatus,Mammal,Scientific capturing,Ear and spleen,Real-time PCR,B. burgdorferi s.l.,3,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
325,"Pichon et al., 2000",Rambouillet Forest,France,No,,November to the end of January 1995-1996 and 1996-1997,Sika deer,Cervus nippon,Mammal,,Skin,PCR,B. burgdorferi s.l.,5,2,0.40,No,,,,,No,B.a. and B.g. in Cervus sika,No birds,,H,Yes
326,"Pichon et al., 2000",Rambouillet Forest,France,No,,November to the end of January 1995-1996 and 1996-1997,Red deer,Cervus elaphus,Mammal,,Skin,PCR,B. burgdorferi s.l.,30,10,0.33,No,,,,,No,B.b. and B.g. in C. elaphus,No birds,,H,Yes
327,"Pichon et al., 2000",Rambouillet Forest,France,No,,November to the end of January 1995-1996 and 1996-1997,European roe deer,Capreolus capreolus,Mammal,,Skin,PCR,B. burgdorferi s.l.,15,2,0.13,No,,,,,No,,No birds,,H,Yes
328,"Pisanu et al., 2013",France,France,No,,2003 to 2010,Eurasian red squirrel,Sciurus vulgaris,Mammal,,Ear biopsy,PCR,B. burgdorferi s.l.,273,65,0.24,Yes,,,,,No,,No birds,,H,Yes
329,"Raberg, 2012",South Sweden,Sweden ,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,Ear biopsy,PCR,B. afzelii,96,49,0.51,No,,,,,No,,No birds,,H,Yes
330,"Raberg, 2012",South Sweden,Sweden ,No,,,Bank vole,Myodes glareolus,Mammal,,Ear biopsy,PCR,B. afzelii,180,88,0.49,No,,,,,No,,No birds,,H,Yes
331,"Raileanu et al., 2021","Angelberger Forst, Bavaria",Germany ,No,Forest,September 2010 - January 2012 (hunting season),European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen ,PCR,B. burgdorferi s.l.,95,0,0.00,NA,No,NA,BF,"Raileanu et al., 2021",No,,No birds,No,L,No
332,"Rocchigiani et al., 2018",Pisa (43°43′N–10°24′E) ,Italy,No,NA,Winter 2016-2017,European hare,Lepus europaeus,Mammal,Scientific capturing,Blood,PCR,B. burgdorferi s.l.,51,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
333,"Ruyts et al., 2017",Flanders,Belgium ,No,NA,2010-2014,Eurasian red squirrel,Sciurus vulgaris,Mammal,Road-killed ,Spleen and liver,PCR,B. burgdorferi s.l. ,52,3,0.06,Yes,No,NA,No,NA,No,,No birds,No,L,No
334,"Schmidt et al., 2014",Austria,Austria,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,Skin,Sequencing,B. burgdorferi s.l.,29,3,0.10,Yes,,,,,No,,No birds,,H,Yes
335,"Schmidt et al., 2014",Austria,Austria,No,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,Skin,Sequencing,B. burgdorferi s.l.,26,1,0.04,Yes,,,,,No,,No birds,,H,Yes
336,"Schmidt et al., 2014",Austria,Austria,No,,,Bank vole,Myodes glareolus,Mammal,,Skin,Sequencing,B. burgdorferi s.l.,40,3,0.08,Yes,,,,,No,,No birds,,H,Yes
337,"Schmidt et al., 2014",Austria,Austria,No,,,Common vole,Microtus arvalis,Mammal,,Skin,Sequencing,B. burgdorferi s.l.,15,9,0.60,Yes,,,,,No,,No birds,,H,Yes
338,"Sgroi et al., 2021a",Campania region,Italy,No,NA,October - December 2019,Wild boar,Sus scrofa,Mammal,Hunting,Spleen ,PCR,B. burgdorferi s.l.,93,0,0.00,NA,No,NA,T+BF,"Sgroi et al., 2021a",No,,No birds,No,L,No
339,"Sgroi et al., 2021b","Apulia, Basilicata, Calabria and Campania regions",Italy,No,NA,October 2017 - December 2019,Red fox,Vulpes vulpes,Mammal,Hunting,Spleen ,PCR,Borrelia spp.,244,9,0.04,Yes,Yes ,95% CI: 1.9-6.9%,No,NA,No,,No birds,No,L,No
340,"Silaghi et al., 2014",Southern Germany,Germany,No,,October 2010 tot February 2013,Wild boar,Sus scrofa,Mammal,,"Spleen, blood & skin",Sequencing,B. burgdorferi s.l.,24,0,0.00,NA,,,,,No,Tick was infected with B. burgdorferi s.s.,No birds,,H,Yes
341,"Skuballa et al., 2012",Europe,Europe,Yes,,2005–2008,Northern white-breasted hedgehog,Erinaceus roumanicus,Mammal,,Tissues,PCR,B. burgdorferi s.l.,10,2,0.20,Yes,,,,,No,,No birds,,H,Yes
342,"Skuballa et al., 2012",Europe,Europe,Yes,,2005–2008,Western European hedgehog,Erinaceus europaeus,Mammal,,Tissues,PCR,B. burgdorferi s.l.,259,35,0.14,Yes,,,,,No,,No birds,,H,Yes
343,"Sukara et al., 2018","Titel, Surcin, Smederevo, Velika Gradiste, Smederevska Palanka, Velika Plana, Negotin, Svilajnac, Zajecar and Bela Palanka ",Serbia ,No,NA,January 2010 - February 2012,Golden jackal,Canis aureus,Mammal,Hunted and road-killed,Spleen ,PCR,Borrelia spp.,216,0,0.00,NA,No,NA,BF,"Sukara et al., 2018",No,,No birds,No,L,No
344,"Sukara et al., 2019","Surčin, Obrenovac, Veliko Gradište, Velika Plana, Svilajnac, Negotin, Despotovac, Rekovac, Kraljevo, Vrnjačka Banja, Trstenik, Blace, Niš, Bela Palanka",Serbia ,No,NA,2010-2016,Red fox,Vulpes vulpes,Mammal,Hunting,Spleen ,PCR,B. burgdorferi s.l.,129,7,0.05,Yes,No,NA,No,NA,No,,No birds,No,L,No
345,"Szekeres et al., 2015","Gemenc (46°07′N, 18°46′E)",Hungary,No,Floodplain habitat,July 2010 - May 2013,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Skin and spleen,Multiplex qPCR,B. burgdorferi s.l.,169,9,0.05,Yes,No,NA,BF,"Szekeres et al., 2015",No,,No birds,No,L,No
346,"Szekeres et al., 2015","Gemenc (46°07′N, 18°46′E)",Hungary,No,Floodplain habitat,July 2010 - May 2013,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Skin and spleen,Multiplex qPCR,B. burgdorferi s.l.,294,17,0.06,Yes,No,NA,BF,"Szekeres et al., 2015",No,,No birds,No,L,No
347,"Szekeres et al., 2015","Gemenc (46°07′N, 18°46′E)",Hungary,No,Floodplain habitat,July 2010 - May 2013,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Skin and spleen,Multiplex qPCR,B. burgdorferi s.l.,40,1,0.03,No,No,NA,BF,"Szekeres et al., 2015",No,,No birds,No,L,No
348,"Szekeres et al., 2015","Gemenc (46°07′N, 18°46′E)",Hungary,No,Floodplain habitat,July 2010 - May 2013,Common vole,Microtus arvalis,Mammal,Scientific capturing,Skin and spleen,Multiplex qPCR,B. burgdorferi s.l.,11,0,0.00,NA,No,NA,BF,"Szekeres et al., 2015",No,,No birds,No,L,No
349,"Szekeres et al., 2015","Gemenc (46°07′N, 18°46′E)",Hungary,No,Floodplain habitat,July 2010 - May 2013,Harvest mouse,Micromys minutus,Mammal,Scientific capturing,Skin,Multiplex qPCR,B. burgdorferi s.l.,3,0,0.00,NA,No,NA,BF,"Szekeres et al., 2015",No,,No birds,No,L,No
350,"Szekeres et al., 2015","Gemenc (46°07′N, 18°46′E)",Hungary,No,Floodplain habitat,July 2010 - May 2013,House mouse,Mus musculus,Mammal,Scientific capturing,Skin and spleen,Multiplex qPCR,B. burgdorferi s.l.,8,0,0.00,NA,No,NA,BF,"Szekeres et al., 2015",No,,No birds,No,L,No
351,"Szekeres et al., 2019","Szentendre, Budapest, Hajdúböszörmény, Kalocsa, Szigetszentmiklós, Kunpeszér, Balatonkenese",Hungary,No,Urban,April - August 2015 ,Northern white-breasted hedgehog,Erinaceus roumanicus,Mammal,Road-killed ,"Skin, muscle, spleen, blood, liver, heart",qPCR,B. burgdorferi s.l.,23,6,0.26,Yes,No,NA,BF,"Szekeres et al., 2019",No,,No birds,No,L,No
352,"Szekeres et al., 2019",Budapest,Hungary,No,Urban,April - August 2015 ,Beech marten,Martes foina,Mammal,Road-killed ,Skin and muscle,qPCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,BF,"Szekeres et al., 2019",No,,No birds,No,L,No
353,"Szekeres et al., 2019",Budapest,Hungary,No,Urban,April - August 2015,House mouse,Mus musculus,Mammal,Road-killed ,"Skin, muscle and spleen",qPCR,B. burgdorferi s.l.,2,0,0.00,NA,No,NA,BF,"Szekeres et al., 2019",No,,No birds,No,L,No
354,"Szekeres et al., 2019",Eger ,Hungary,No,Urban,April - August 2015,Lesser white-toothed shrew,Crocidura suaveolens,Mammal,Found dead,"Skin, muscle and spleen",qPCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,BF,"Szekeres et al., 2019",No,,No birds,No,L,No
355,"Szekeres et al., 2019",Budapest and Balatonakarattya,Hungary,No,Urban,April - August 2015,Eurasian red squirrel,Sciurus vulgaris,Mammal,Road-killed ,"Skin, blood, spleen and muscle",qPCR,B. burgdorferi s.l.,2,1,0.50,No,No,NA,BF,"Szekeres et al., 2019",No,,No birds,No,L,No
356,"Szekeres et al., 2019",Margaret Island and Solymár,Hungary,No,Urban,April - August 2015,European mole,Talpa europaea,Mammal,Found dead,"Skin, blood, spleen, liver and muscle",qPCR,B. burgdorferi s.l.,4,0,0.00,NA,No,NA,BF,"Szekeres et al., 2019",No,,No birds,No,L,No
357,"Szekeres et al., 2019",Budakeszi,Hungary,No,Urban,April - August 2015,Least weasel,Mustela nivalis,Mammal,Found dead,"Skin, blood, spleen and muscle",qPCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,BF,"Szekeres et al., 2019",No,,No birds,No,L,No
358,"Szekeres et al., 2019",Budapest,Hungary,No,Urban,April - August 2015,European roe deer,Capreolus capreolus,Mammal,Road-killed ,"Skin, spleen, thymus",qPCR,B. burgdorferi s.l. ,1,0,0.00,NA,No,NA,BF,"Szekeres et al., 2019",No,,No birds,No,L,No
359,"Tomassone et al., 2017","Tuscan Emilian Apennine National Park (44°12′N, 10°22′E)",Italy,No,Open meadows with rocks and bushes; hiking trails with stone walls and tall grass; areas of exposed rocks and mixed deciduous woods; gravelly soil areas with scarce vegetation,April - August 2011-2013,Common wall lizard,Podarcis muralis,Reptile ,Scientific capturing,Tail  ,PCR,B. burgdorferi s.l.,16,0,0.00,NA,No,NA,BF,"Tomassone et al., 2017",No,,No birds,No,L,No
360,"Vichova et al., 2016",Liptovská Mara,Slovakia ,No,NA,NA,Great cormorant,Phalacrocorax carbo,Bird,Hunting,Skeleton muscle,PCR,B. burgdorferi s.l.,32,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,L,No
361,"Vourch et al., 2007",Senart forest,France,No,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,Ear biopsy,PCR-RFLP,B. burgdorferi s.l.,31,0,0.00,NA,,,,,No,,No birds,,H,Yes
362,"Vourch et al., 2007",Senart forest,France,No,,,Bank vole,Myodes glareolus,Mammal,,Ear biopsy,PCR-RFLP,B. burgdorferi s.l.,64,9,0.14,Yes,,,,,No,,No birds,,H,Yes
363,"Vourch et al., 2007",Senart forest,France,No,,,Siberian chipmunk,Tamias sibiricus,Mammal,,Ear biopsy,PCR-RFLP,B. burgdorferi s.l.,33,11,0.33,Yes,,,,,No,,No birds,,H,Yes
364,"Wodecka et al., 2016","Poniec, Sieraków and Oborniki",Poland,No,NA,September - November 2009-2011,Raccoon dog,Nyctereutes procyonoides,Mammal,Hunting,"Blood, liver, skin",Nested PCR,B. burgdorferi s.l.,28,7,0.25,Yes,No,NA,BF,"Wodecka et al., 2016",No,,No birds,No,L,No
365,"Wodecka et al., 2016","Poniec, Sieraków and Oborniki",Poland,No,NA,September - November 2009-2011,European badger,Meles meles,Mammal,Hunting,"Blood, liver, skin",Nested PCR,B. burgdorferi s.l.,34,4,0.12,Yes,No,NA,BF,"Wodecka et al., 2016",No,,No birds,No,L,No
366,"Zhong et al., 2019",Revinge area,Sweden ,No,NA,August - September 2015-2016,Bank vole,Myodes glareolus,Mammal,Scientific capturing,"Ear, heart and joint",qPCR,B. afzelii,69,23,0.33,No,No,NA,No,NA,No,,No birds,No,L,No
367,"Zhong et al., 2019",Revinge area,Sweden ,No,NA,August - September 2015-2016,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,"Ear, heart and joint",qPCR,B. afzelii,32,19,0.59,No,No,NA,No,NA,No,,No birds,No,L,No
368,"Zhong et al., 2019",Revinge area,Sweden ,No,NA,August - September 2015-2016,Common shrew,Sorex araneus,Mammal,Scientific capturing,"Ear, heart and joint",qPCR,B. afzelii,15,8,0.53,No,No,NA,No,NA,No,,No birds,No,L,No
369,"Zhong et al., 2019",Revinge area,Sweden ,No,NA,August - September 2015-2016,Eurasian pygmy shrew,Sorex minutus,Mammal,Scientific capturing,"Ear, heart and joint",qPCR,B. afzelii,11,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No