volgorde,Struco,area_2
2,20,1116.398014
2,50,884.4511147
2,40,2120.684616
2,100,6505.58268
2,110,479.4406471
2,110,17940.63959
2,0,2227.926464
4,20,7980.690403
4,50,2407.208363
4,50,7459.701534
4,10,987.3527222
4,10,63.76608276
4,10,15.29602432
4,40,10689.54668
4,61,1513.014366
4,61,1236.086166
4,0,251.8695793
5,0,6369.754723
5,20,1890.430363
5,20,1900.006569
5,50,27.75173187
5,10,669.6245079
5,40,490.5178337
5,100,16058.54055
5,110,3777.137802
6,20,13154.96463
6,20,483.5077591
6,50,363.530571
6,50,3395.820168
6,50,140.2979774
6,50,984.041851
6,50,319.1840668
6,50,3294.643665
6,10,225.2261086
6,10,443.2884827
6,10,1621.314911
6,10,551.4944229
6,10,340.5269165
6,40,463.6412811
6,61,189.6198807
6,61,1589.799919
6,61,3998.954399
6,0,0.612888336
7,20,395.3768425
7,40,940.0608902
7,100,419.5361061
7,110,29153.90667
7,0,0.102962494
9,20,2088.039364
9,20,904.7533722
9,20,6067.372059
9,50,11073.34626
9,50,1132.470398
9,10,374.8581009
9,40,988.8234749
9,40,2221.461445
9,40,731.8034096
9,100,849.7583847
9,61,2932.226883
9,61,1768.442379
9,0,358.2545471
10,20,8029.168613
10,20,856.0791893
10,50,534.9939423
10,50,857.7323265
10,50,2452.675629
10,50,345.3884277
10,10,250.4082108
10,10,144.6440048
10,61,17947.81794
10,0,0.164226532
13,20,269.0783157
13,20,1496.81741
13,20,2880.362125
13,10,306.0659676
13,40,48.97805786
13,61,383.6369247
13,100,24055.96648
13,0,1556.574562
14,20,276.4848061
14,20,427.2393608
14,20,30.93049622
14,50,5960.942944
14,50,3021.47364
14,50,297.9131889
14,10,9329.508404
14,61,10138.77637
14,0,1600.597984
15,20,6275.44722
15,20,153.9839096
15,20,585.5630341
15,10,360.2136955
15,40,18491.1317
15,100,5131.115543
15,0,385.0562134
16,20,12192.92273
16,20,8.569168091
16,50,7525.950901
16,50,3136.327106
16,50,1011.894852
16,10,147.5728607
16,40,371.1296959
16,40,4441.508652
16,40,435.322979
16,61,739.8910675
16,61,756.3419113
16,0,870.1889763
17,20,213.2470131
17,40,2946.232838
17,100,903.282196
17,100,500.3791542
17,110,26377.11943
17,0,163.5002022
18,20,19333.81752
18,50,2481.721645
18,50,268.7684746
18,50,4062.868248
18,40,788.2472153
18,40,572.1929169
18,40,549.7045288
18,61,1665.13879
18,61,369.3295631
18,0,2539.555786
19,0,452.3133965
19,20,3503.37405
19,50,7404.030205
19,50,3.606891632
19,10,1414.01358
19,10,412.3485374
19,40,672.6037674
19,40,2099.596004
19,61,15012.98326
22,0,0.052215576
22,10,273.5740051
22,100,0.634548187
22,100,9205.04628
22,110,21919.91538
23,20,1020.306934
23,40,28062.5276
23,0,1821.757172
24,20,9874.721893
24,50,113.7827606
24,10,325.4143105
24,40,119.9822197
24,100,3402.114281
24,100,6740.933472
24,61,3444.745705
24,61,278.2912979
24,110,386.6830902
24,110,1394.787636
24,0,4912.388775
25,20,12739.64676
25,50,1553.738647
25,50,6324.939659
25,10,1213.297321
25,10,2932.775017
25,10,660.7678795
25,40,445.6245537
25,40,623.1092415
25,40,4012.913383
25,40,1039.906811
25,40,96.07832718
25,0,5.89414978
26,20,3624.59156
26,20,3450.829197
26,10,2898.488609
26,10,1071.886124
26,10,262.6161308
26,10,2228.128319
26,40,979.2511673
26,100,17.17889786
26,100,2847.389015
26,110,13666.11945
26,0,0.33631134
27,0,0.081718445
27,20,6502.392986
27,10,1190.619709
27,40,5145.587063
27,40,0.471424103
27,130,18200.45595
29,20,804.233078
29,20,16.5009079
29,100,151.109127
29,110,29779.88943
29,0,156.8738976
30,20,6995.474888
30,50,1354.989388
30,50,721.9354019
30,50,10577.99421
30,10,214.1336365
30,10,7.012145996
30,61,12187.90926
30,110,42.43521881
30,0,0.365406036
34,20,7620.476505
34,40,1083.783703
34,40,1041.67532
34,100,739.0704155
34,130,2297.142769
34,110,18116.15014
34,0,163.4652023
36,10,4396.604889
36,40,1.902271271
36,40,1803.094719
36,100,4623.906834
36,100,8903.663616
36,61,6405.034561
36,0,4803.3703
37,100,1369.846027
37,100,167.5328789
37,110,29191.6633
37,0,330.6837959
38,20,3219.61792
38,20,622.2087593
38,20,3733.302654
38,50,12857.94925
38,10,734.4413872
38,10,616.7141991
38,10,618.2097969
38,61,4321.230801
38,61,1482.750542
38,61,992.3940506
38,0,1967.134308
43,20,1.947803497
43,50,7333.921844
43,50,1822.705593
43,40,1034.338486
43,61,12294.17623
43,0,8766.458321
44,20,614.1646461
44,20,4677.803905
44,20,23.75151062
44,20,271.0813751
44,50,642.6706963
44,10,257.8530045
44,10,7046.094334
44,40,12.56683731
44,40,603.9689789
44,40,2964.784576
44,40,853.9484711
44,100,13552.2067
44,100,44.71020508
44,100,22.56033707
44,0,0.438026428
45,20,10779.9932
45,50,19.94178391
45,50,903.12117
45,50,1290.638348
45,40,3278.906548
45,61,3051.477779
45,61,247.9163895
45,61,584.0614853
45,0,10795.84875
47,20,54.20535278
47,20,523.602932
47,20,365.2642288
47,20,62.67329407
47,50,3.422176361
47,10,2300.822975
47,10,3444.00523
47,10,993.7983246
47,40,1016.924717
47,40,5551.777813
47,40,3974.014
47,100,12559.14902
47,0,474.5564041
48,20,60.50166702
48,20,9687.148567
48,50,13774.94131
48,50,408.2963219
48,10,2378.855534
48,10,3877.226749
48,10,24.28055191
48,10,796.8958969
48,61,4.567352295
48,0,0.291252136
51,0,322.9379539
51,100,3642.488964
51,100,254.2814026
51,110,26812.59589
52,20,2699.719616
52,20,1505.887539
52,50,25047.44458
52,10,661.5140114
52,40,1616.857365
53,100,197.9092216
53,100,187.288044
53,100,497.4791412
53,110,28066.08611
53,0,2056.151634
55,20,2166.534481
55,20,205.5749168
55,50,2518.853077
55,50,1109.771591
55,50,659.3811607
55,10,222.8044357
55,10,402.1363258
55,10,442.7460022
55,40,538.0858574
55,40,1341.540665
55,40,838.8892593
55,61,11573.88285
55,61,569.0279427
55,61,862.5701141
55,0,7664.881718
56,20,5527.041954
56,50,21226.9803
56,10,685.4905815
56,10,419.2836494
56,10,891.7135887
56,10,518.5172501
56,10,363.8120842
56,40,816.8582306
56,40,804.6458015
56,40,1100.860245
56,61,168.7589188
56,0,0.222621918
59,20,2775.546139
59,20,750.1690979
59,20,436.4175987
59,20,111.8172569
59,50,844.859272
59,50,1598.811428
59,10,279.1793747
59,40,129.0684586
59,40,1372.64164
59,40,201.8031197
59,100,18843.89208
59,61,3754.29031
59,0,412.3044243
61,0,0.043273926
61,20,5701.563324
61,50,22.4629364
61,10,273.4904404
61,110,25188.92895
62,0,1507.050713
62,10,860.1705856
62,100,44.62728119
62,110,28633.93047
64,20,766.8429794
64,40,4.798019409
64,100,1856.955944
64,110,28072.97002
64,0,503.4429779
66,0,5875.752102
66,20,1423.043385
66,100,10783.43659
66,100,325.4045906
66,100,3886.299206
66,110,8729.288647
68,20,3242.486809
68,20,79.67317581
68,50,7358.783436
68,10,407.5875053
68,10,40.08942795
68,40,732.2737236
68,40,1470.28714
68,61,17906.75378
68,0,65.39051056
70,20,5181.036854
70,20,724.3407936
70,20,362.8000374
70,50,973.4001656
70,50,908.3222656
70,50,10.08773041
70,40,2614.208435
70,100,1455.451611
70,100,624.9013557
70,100,43.12662506
70,61,659.1788559
70,110,13299.94224
70,0,4612.914326
71,20,1803.594719
71,20,9698.55822
71,50,1135.234398
71,50,3017.580444
71,40,3172.674843
71,40,2967.074158
71,40,1107.545982
71,40,859.7894592
71,100,2234.482735
71,0,5032.937847
72,20,10649.84031
72,50,12273.63761
72,50,431.8402214
72,50,4.182064056
72,10,249.7914124
72,10,67.05734253
72,10,128.628376
72,40,4.074085236
72,40,4090.057007
72,40,727.8907318
72,40,151.2379608
72,61,2656.85535
72,0,0.500801086
75,40,374.9762611
75,100,4586.830612
75,100,2136.930367
75,100,1883.21027
75,110,19058.91942
75,0,2931.544159
76,20,7.390846252
76,10,19.2919693
76,10,40.85506821
76,10,18.19010162
76,100,74.98779678
76,100,7782.034763
76,110,22883.44032
76,0,454.1207161
77,20,520.5629959
77,50,25032.33592
77,10,35.20322037
77,10,1896.147572
77,10,3597.319462
77,10,0.881580353
77,0,0.074939728
78,20,1069.051174
78,50,18204.76928
78,10,9175.82053
78,40,771.4753494
78,40,291.1123772
78,40,1239.451874
78,61,620.6313667
78,0,0.055335999
79,20,145.6364632
79,20,172.0844116
79,20,6883.004627
79,50,216.1876678
79,50,852.7049179
79,10,124.0264359
79,40,16082.24939
79,40,27.54184341
79,100,3670.66679
79,100,4096.205223
79,0,128.4478035
80,100,13.64328766
80,110,30738.36091
80,0,149.6952553
83,20,3.150028229
83,20,1746.687363
83,20,1312.501083
83,50,23228.42416
83,10,1432.324104
83,10,1782.030815
83,10,49.72413254
83,40,859.5462685
83,40,653.0149765
83,0,0.344394684
85,0,38.14263153
85,20,14543.36663
85,10,2035.561691
85,10,535.7252312
85,40,541.4519081
85,40,516.4733047
85,40,1766.845497
85,100,623.846199
85,110,10953.07449
87,20,273.5494232
87,20,202.5229073
87,50,21392.33801
87,10,207.9017029
87,10,1431.407639
87,10,211.2101364
87,10,207.6872101
87,10,512.1015625
87,40,3789.575554
87,61,3494.192883
87,0,173.5422859
88,20,4462.661938
88,20,265.6390877
88,10,320.1963158
88,10,1618.340878
88,40,383.8027115
88,40,1450.532261
88,100,3617.462112
88,110,18909.52397
88,0,38.16513824
90,20,13098.37505
90,20,205.7002068
90,50,342.6744232
90,50,2390.104698
90,10,625.6957207
90,40,589.3526649
90,40,30.89985275
90,61,3966.621578
90,61,1526.626358
90,61,730.5375252
90,0,7961.060215
92,10,732.6467323
92,40,2673.495026
92,40,255.8478966
92,40,18.74145889
92,100,5745.354736
92,100,714.9923096
92,100,558.2897415
92,100,291.0947227
92,100,1130.104324
92,110,17758.05439
92,0,1535.832085
93,20,3034.769066
93,20,433.7258568
93,50,4227.769154
93,10,414.7777252
93,10,51.19025421
93,10,1192.618202
93,10,233.737442
93,40,291.8769455
93,40,15083.30621
93,100,599.1879425
93,100,5583.242172
93,61,163.4725456
93,0,291.6623535
95,20,322.8294182
95,40,1333.84803
95,40,244.8815536
95,40,342.1906967
95,61,15553.53462
95,61,2597.861549
95,0,10719.73127
97,20,22.04929352
97,20,67.24758148
97,50,37.77667236
97,40,7395.864529
97,40,5617.972954
97,100,16408.37306
97,61,1248.801201
97,61,6.145496368
97,0,401.2170753
98,20,1187.006378
98,20,783.4682045
98,20,517.0426216
98,50,2866.417164
98,50,1832.734974
98,10,1092.618549
98,10,1358.625698
98,10,255.7889404
98,40,963.376606
98,40,23.02134705
98,61,20415.42613
98,0,97.70590973
100,50,666.2492256
100,100,8836.262669
100,100,301.3796005
100,100,325.4045906
100,110,12320.73828
100,0,8764.448986
109,20,27.43593597
109,20,3261.669109
109,50,6184.874599
109,40,3395.112553
109,40,3163.259014
109,100,7165.982655
109,61,4521.684799
109,0,3686.390411
111,20,1530.196365
111,20,1053.25729
111,50,15394.71775
111,10,12420.21426
111,10,4.722835541
111,40,648.2545815
111,40,431.6883812
111,40,4.691249847
111,0,0.059078217
120,20,359.15839
120,20,1466.173004
120,20,79.43394089
120,20,2138.878601
120,10,280.9515152
120,10,168.543541
120,40,3421.936108
120,40,29.38169098
120,40,0.852161407
120,40,2003.369194
120,40,320.2483025
120,40,3700.200222
120,100,11957.92055
120,100,1609.952549
120,61,801.0796356
120,110,3535.21159
120,0,546.7774734
124,20,206.5815353
124,50,813.2325783
124,10,565.2971382
124,10,224.9600067
124,100,17586.89624
124,110,3446.869606
124,110,3054.739506
124,110,4248.708893
124,0,1261.803955
130,20,2409.685055
130,130,1491.891472
130,130,1973.715115
130,110,25060.19825
130,0,140.9695168
132,20,11133.82131
132,50,1702.340645
132,50,9089.312206
132,50,2.456859589
132,50,9.604381561
132,10,118.0732307
132,10,234.3529625
132,10,25.25283051
132,10,489.8125763
132,10,224.5711327
132,10,187.4605064
132,10,65.32394791
132,61,5485.665157
132,0,2799.483894
139,20,130.7237053
139,20,4.625415802
139,20,2247.699333
139,50,10470.63809
139,50,2320.213791
139,10,1013.446758
139,10,231.3283844
139,40,947.613842
139,40,494.763958
139,40,584.2605019
139,61,7256.571129
139,61,240.332798
139,0,5234.98595
142,20,5487.347919
142,20,2028.295074
142,20,0.4348526
142,50,21548.22109
142,10,481.8948135
142,10,1033.893383
142,10,9.175163269
142,40,56.02717972
142,40,334.7312279
142,0,144.3353882
200,0,1646.187637
200,20,2703.42411
200,20,1627.76696
200,50,259.1217957
200,10,913.0839005
200,40,7288.61216
200,40,10195.88525
200,100,767.8742104
200,100,2387.993141
200,61,712.5363274
200,110,827.9249153
200,110,2556.295547
201,20,1679.723969
201,20,341.5886765
201,50,2880.245956
201,40,236.3810539
201,40,160.6590424
201,100,2777.048065
201,61,975.208046
201,61,1295.842918
201,61,1158.25927
201,61,1024.47327
201,110,12390.33701
201,110,20.76089859
201,110,88.19326782
201,0,5973.195576
204,20,8682.567196
204,20,936.1844826
204,20,26.34145737
204,50,48.06467438
204,10,400.7474022
204,40,55.09744644
204,40,1208.946281
204,40,232.4091911
204,40,629.1027527
204,40,705.3745728
204,100,299.0577545
204,100,4530.105881
204,61,775.5565987
204,61,235.3223419
204,61,614.3014717
204,110,4364.113953
204,0,7534.700375
205,20,3980.457054
205,50,791.5523453
205,50,262.4863129
205,50,1154.503819
205,10,718.2383156
205,10,2847.614799
205,10,76.48220062
205,40,610.8957634
205,40,13170.04898
205,100,61.664814
205,100,344.6949883
205,100,5391.814163
205,0,2952.057205
207,20,11808.75705
207,10,363.0640678
207,40,102.1156425
207,40,2307.247833
207,40,523.4518623
207,130,15808.31687
207,0,238.6175575
208,20,10166.23006
208,50,395.3165169
208,40,21.6543045
208,40,4567.822182
208,40,10605.3584
208,100,767.8742104
208,100,149.6004105
208,61,515.9234276
208,110,2490.529598
208,0,2016.101669
209,20,2872.505878
209,20,3496.42804
209,20,591.5540352
209,20,269.9727478
209,50,1531.924454
209,50,4364.379704
209,50,1076.104263
209,10,796.6803856
209,10,639.6887932
209,40,261.8181572
209,40,1697.855309
209,61,12841.69352
209,0,797.8483124
210,20,821.7894592
210,40,902.2880478
210,100,6789.267624
210,110,21746.66553
210,0,666.1746521
211,20,275.5168762
211,20,1160.374027
211,10,38.80820084
211,40,675.9833794
211,40,24.0666275
211,100,2572.947666
211,100,1113.336788
211,110,21443.89643
211,0,3828.221424
212,20,572.0752754
212,20,282.5738144
212,50,312.7274933
212,50,8261.390755
212,50,501.7320747
212,50,1039.008919
212,50,243.3107681
212,50,1.019702911
212,50,695.7317123
212,50,185.0983047
212,10,467.5769768
212,10,986.6786118
212,10,295.5509758
212,40,5058.784836
212,40,1887.709877
212,40,6.670001984
212,40,732.7382469
212,61,1052.529324
212,61,908.2746582
212,61,359.9095154
212,0,7755.152252
213,20,12429.61268
213,40,225.6099548
213,130,7647.611977
213,110,9301.384991
213,110,1278.818199
213,0,156.6485939
214,20,844.5024033
214,110,28272.96621
214,0,1813.489944
215,20,1240.289074
215,20,411.4362297
215,20,4354.515221
215,50,2498.765419
215,50,4433.247482
215,40,175.9813728
215,40,1143.375137
215,40,348.2682877
215,40,1532.423107
215,40,55.32580566
215,40,129.3325691
215,61,1003.031704
215,61,4230.617767
215,61,177.0770111
215,0,9490.32748